Player,Team,Salary
Myles Turner,IND,18000000
Monta Ellis,IND,2245400
Malcolm Brogdon,IND,20700000
Justin Holiday,IND,5720400
Jeremy Lamb,IND,10500000
JaKarr Sampson,IND,1882867
Doug McDermott,IND,7333333
Domantas Sabonis,IND,17187500
Caris LeVert,IND,16203704
Troy Williams,HOU,122741
Kelly Olynyk,HOU,12198243
John Wall,HOU,41254920
Jerian Grant,HOU,1882867
Eric Gordon,HOU,16869276
DeMarcus Cousins,HOU,2666959
David Nwaba,HOU,1862250
Danuel House,HOU,3717000
Dante Exum,HOU,9600000
D.J. Augustin,HOU,6666667
Christian Wood,HOU,13015874
Bruno Caboclo,HOU,361256
Ben McLemore,HOU,2852708
Avery Bradley,HOU,5635000
Stephen Curry,GSW,43006362
Shaun Livingston,GSW,666667
Klay Thompson,GSW,35361360
Kevon Looney,GSW,4821429
Kent Bazemore,GSW,2320044
Draymond Green,GSW,22246956
Andrew Wiggins,GSW,29542010
Wayne Ellington,DET,3005225
Rodney McGruder,DET,5000000
Mason Plumlee,DET,8000000
Jerami Grant,DET,19047619
Jahlil Okafor,DET,1882867
Dewayne Dedmon,DET,3447478
Cory Joseph,DET,12600000
Blake Griffin,DET,33685241
Will Barton,DEN,13920000
Paul Millsap,DEN,10000000
JaVale McGee,DEN,4200000
JaMychal Green,DEN,7199760
Jamal Murray,DEN,29250000
Aaron Gordon,DEN,18136364
Willie Cauley-Stein,DAL,4000000
Trey Burke,DAL,3174603
Josh Richardson,DAL,10800000
J.J. Redick,DAL,13013700
J.J. Barea,DAL,2564753
Dwight Powell,DAL,10185185
Dorian Finney-Smith,DAL,4000000
Thon Maker,CLE,309355
Matthew Dellavedova,CLE,2174318
Kevin Love,CLE,31300000
J.R. Smith,CLE,1456667
Andre Drummond,CLE,29546311
Terry Rozier,CHO,18900000
Nicolas Batum,CHO,11608231
Gordon Hayward,CHO,28500000
Cody Zeller,CHO,15415730
Bismack Biyombo,CHO,2331593
Zach LaVine,CHI,19500000
Thaddeus Young,CHI,13545000
Garrett Temple,CHI,4767000
Denzel Valentine,CHI,4642800
Al-Farouq Aminu,CHI,9720900
Tyler Johnson,BRK,2028594
Spencer Dinwiddie,BRK,11454048
Noah Vonleh,BRK,263995
LaMarcus Aldridge,BRK,19078340
Kyrie Irving,BRK,33329100
Kevin Durant,BRK,39058950
Joe Harris,BRK,16071429
Jeff Green,BRK,2564753
James Harden,BRK,40824000
Iman Shumpert,BRK,447155
DeAndre Jordan,BRK,10375678
Blake Griffin,BRK,33685241
Andre Roberson,BRK,152839
Tristan Thompson,BOS,9258000
Marcus Smart,BOS,13446428
Kemba Walker,BOS,34379100
Jaylen Brown,BOS,22991071
Jabari Parker,BOS,6916834
Evan Fournier,BOS,17000000
Demetrius Jackson,BOS,92857
Tony Snell,ATL,12178571
Solomon Hill,ATL,2174318
Lou Williams,ATL,8000000
Kris Dunn,ATL,4767000
Danilo Gallinari,ATL,19500000
Clint Capela,ATL,16000000
